Montauk Lamp,"||Overall height: 72cm||Base: 32cmDia x 54cmH||Shade: 45cmDia x 45cmDia x 28cmH||The perfect finishing touch to a Hamptons style interior, the Montauk provides a classic blue and white palette, temple jar silhouette and textured hessian shade. Pair with the Manto furniture collection.",||Lamp features a ceramic base with a white and navy geometric design- please allow for slight variations in colour due to monitors||Acrylic plinth||Includes a natural hessian drum shade||Cord switch||Takes a bayonet globe 50w max - not included||Hamptons Style,249,//cdn.shopify.com/s/files/1/1089/1214/products/shopify_4f1fc17b635e25a4264dd31d262ee1ba_montauk-lamp_x480.jpg?v=1571441693,category-lighting,table-lamps
Hampton Lamp With Navy Blue Shade,"||35cmDia x 63cmH||A modern classic, our ceramic and nickel table lamp exudes elegance, style and finish. Marry with city or coastal decors.",||Lamp base is white ceramic with a raised design||Base plinth & hardware made from metal with a nickel finish||Shade in navy blue linen||Takes an E27 globe max 60W - not included||12 month warranty||Hamptons & Contemporary Styles,125,//cdn.shopify.com/s/files/1/1089/1214/products/shopify_601adee2c97e0bc65bf62fb1c7bed711_hampton-lamp-with-navy-blue-shade_x480.jpg?v=1630625215,category-lighting,table-lamps
Ravello Lamp with Shade,"||Base: 34cmDia x 60cmH||Shade: 50cmDia x 30.5cmH||Evoking a Mediterranean mood is easy with a ceramic lamp in blue and white. Pair the Ravello with white washed furniture, flagstone floors and limed walls.",||Lamp features a ceramic base with blue and white design||Includes an ivory linen linen drum shade||Takes a B22 globe - not included||Mediterranean & Moroccan Styles,599,//cdn.shopify.com/s/files/1/1089/1214/products/shopify_43e5f936bd2b93eec106c2163eb0e3d3_ravello-lamp-with-shade_x480.jpg?v=1611550815,category-lighting,table-lamps
Ashleigh Table Lamp,"||Base: 22cmDia x 50cmH||Shade: 35.5cm bottom Dia x 30.5cm top Dia x 24cmH||A decorating perennial, blue and white ceramics are timeless. The Asleigh Lamp’s ginger jar silhouette pairs effortlessly with traditional furniture styles.||NB: Please enquire for availability prior to ordering",||Lamp features a ceramic base with blue and white design||Includes an ivory linen shade||Takes a B22 globe - not included||Traditional & Asian Styles,265,//cdn.shopify.com/s/files/1/1089/1214/products/ELJC11024_a887061d-b5fe-412c-8c23-d907cec3505e_x480.jpg?v=1605151312,category-lighting,table-lamps
Ribbon Table Lamp,"||Base: 18.5cmDia x 35cmH||Shade: 38cm Top Dia x 43cm Bottom Dia x 28cmH||Overall height: 64cm||Featuring a hand painted blue ceramic base with white cotton shade and an organic gourd silhouette, the Ribbon's look is modern and fresh.",||Lamp base is made from ceramic with a hand painted blue brush stroke design - variations may occur||Includes a white cotton shade||Globe not included||Contemporary & Hamptons Styles,285,//cdn.shopify.com/s/files/1/1089/1214/products/shopify_114d17d445c670444acc1ca894f10474_ribbon-table-lamp_x480.jpg?v=1573621018,category-lighting,table-lamps
Adette Table Lamp,"||Base: 22cmDia x 37cmH||Shade: 38cm Top Dia x 43cm Bottom Dia x 28cmH||Overall height: 71cm||The Adette Table Lamp is the perfect addition to a modern coastal or city decor that requires a polished finish. Featuring a gloss blue ceramic base with a retro silhouette and white shade, co-ordination is effortless.",||Table lamp base is made from ceramic with a gloss finish||Includes a white cotton shade||Cord switch||Globe not included||Contemporary Style,285,//cdn.shopify.com/s/files/1/1089/1214/products/shopify_60c4a2ec19ab204d97e4c5e184984fab_adette-table-lamp_x480.jpg?v=1573620629,category-lighting,table-lamps
Napoli Wrought Iron 2 Seater Bench,"||110cmW x 53cmD x 97cmH||Seat height without cushion: 44.5cm||Floor to Arm Height: 67cm||Create the charm of provincial French design with decorative wrought iron furniture. Re-imaging the rich scrollings of the Baroque used in balconies, stair railings and gateways the Le Forge Collection re-imagines this era with understated elegance. Hand forged from galvanised iron means that every piece can be used both indoors and in full weather.||NB: Please note that styled shot shows another products from the range",||This is a high quality Le Forge product||Chair is hand forged from galvanised iron with a patina finish||Includes black acrylic seat cushion with black piped detail - UV stable with weatherproof foam insert||Rubber feet||French inspired design||Suitable for indoors and full outdoor use||French Country & Outdoor Living Styles,1809,//cdn.shopify.com/s/files/1/1089/1214/products/shopify_6253d325eb7d7a3c277037a08ec49a45_napoli-wrought-iron-2-seater-bench_9398152b-9368-44ed-b6fe-982f3ba34c2b_x480.jpg?v=1588222717,category-outdoor-garden,benches
Savanna Table Lamp,"||Overall Height: 71cm||Base: 23.5cmDia||Shade: 45.5cmDia x 28cmH||Beautifully versatile, translating effortlessly from contemporary to coastal aesthetics, the Savanna Table Lamp provides a simple way to add natural texture and interest to any space.",||Lamp base is crafted from hand plaited natural rattan||Sits on an acrylic plinth||Includes an ivory cotton drum shade||NB: Requires a bayonet globe - not included||Island Resort & Hampton's Styles,299,//cdn.shopify.com/s/files/1/1089/1214/products/shopify_319ef250356feb9bf746fc3dbd3be42f_savanna-lamp_2652b744-be00-4841-87fa-b1579653723a_x480.jpg?v=1629885095,category-furniture-collections,table-lamps
Grand Chaise Wrought Iron 3 Seater Bench,"||175cmW x 60cmD x 120cmH||Seat height without cushion: 44cm||Floor to Arm Height: 70cm||Create the charm of provincial French design with decorative wrought iron furniture. Re-imaging the rich scrollings of the Baroque used in balconies, stair railings and gateways the Le Forge Collection re-imagines this era with understated elegance. Hand forged from galvanised iron means that every piece can be used both indoors and in full weather.||NB: Please note that cushion included is black with black piping and not the colour in the image - styled image shows another item from the range",||This is a high quality Le Forge product||Chair is hand forged from galvanised iron with a patina finish||Includes black acrylic seat cushion with black piped detail - UV stable with weatherproof 10cm foam insert||Rubber feet||French inspired design||Suitable for indoors and full outdoor use||French Country & Outdoor Living Styles,2959,//cdn.shopify.com/s/files/1/1089/1214/products/shopify_dfa7198ab6f45f16ab70adf731143989_grand-chaise-wrought-iron-3-seater-bench_1082847c-ec7f-47ac-b7b0-6fc169575c1d_x480.jpg?v=1588221028,category-outdoor-garden,benches
Victorian Wrought Iron 2 Seater Bench,"||117cmW x 45cmD x 100cmH||Seat height without cushion: 42.5cm||Floor to Arm Height: 62cm||Create the charm of provincial French design with decorative wrought iron furniture. Re-imaging the rich scrollings of the Baroque used in balconies, stair railings and gateways the Le Forge Collection re-imagines this era with understated elegance. Hand forged from galvanised iron means that every piece can be used both indoors and in full weather.||NB: Please note that black cushion is included - not shown in image||Styled image shows another bench from the range",||This is a high quality Le Forge product||Chair is hand forged from galvanised iron with a patina finish||Includes black acrylic seat cushion with black piped detail - UV stable with weatherproof foam insert||Rubber feet||French inspired design||Suitable for indoors and full outdoor use||French Country & Outdoor Living Styles,1769,//cdn.shopify.com/s/files/1/1089/1214/products/shopify_166eb3c10984ee7512d0dbdc765c319f_victorian-wrought-iron-2-seater-bench_c2d1311a-c692-4da0-b7bb-8fa26d91cd8e_x480.jpg?v=1588221586,category-outdoor-garden,benches
Plantation Bench,"||Selection option||80cm x 42cm x 45cmH||120cm x 42cm x 45cmH||150CM x 42cm x 45cmH||180cm x 42cm x 45cmH||Bring style to your outdoor decorating with the extensive Plantation Furniture Collection. The durability of stainless steel and teak combine to give a sleek urban edge to the warmth of timber. Each single piece is a design statement on its own whilst together, they work in harmony to create elegant, contemporary settings.||NB: Please note that slight variations in colour may occur||NB: Items sold separately",||Plantation Bench is made from 304 grade stainless steel with teak slats||Also available in 80cm x 42cm - 120cm x 42cm - 150cm x 42cm - 42cm x 42cm x 45cm stool version - please enquire||Teak is protected with 3 coats of oil and stainless steel with a protector. Maintenance will depend on the outdoor situation.||Contemporary & Outdoor Living Styles,419,//cdn.shopify.com/s/files/1/1089/1214/products/shopify_f8b0c30e3527682cab8cbe9a3f7587f3_plantation-bench_x480.jpg?v=1571441394,category-outdoor-garden,benches
